Model,Price
"2008 S500 4Matic",3500
"2008 S550",3500
"2008 S550 4matic",3500
"2008 S63",4000
"2008 SPRINTER 2500",2750
"2008 Sprinter 3500",2750
"2008 clk500",3500
"2008 cls 63",3500
"2009 C63 AMG",4000
"2009 CL550 4Matic",3500
"2009 CL63",3500
"2009 CLK 350",3500
"2009 CLS550",3500
"2009 E350",3500
"2009 E500",3500
"2009 E63",4000
"2009 G55 AMG",3500
"2009 GL320 CDI",3500
"2009 GL450",3500
"2009 GL550",3500
"2009 ML350",3500
"2009 ML350 CDI",3500
"2009 S550",3500
"2009 S550 4Matic",3500
"2009 S63 AMG",4000
"2009 SL550",3500
"2009 SL63 AMG",4000
"2009 SLK350",3500
"2009 Sprinter 2500",2750
"2009 c300",3500
"2009 c300 4Matic",3500
"2010 C300 4Matic",3500
"2010 C63",4000
"2010 CL 500 4Matic",3500
"2010 CLS 500",3500
"2010 E350",3500
"2010 E350 4Matic",3500
"2010 E550",3500
"2010 E550 4Matic",3500
"2010 E63 AMG",3500
"2010 G500",3500
"2010 G55",3500
"2010 GL 450",3500
"2010 GLK 350",3500
"2010 GLK 350 4Matic",3500
"2010 ML 350 Diesel",3500
"2010 ML350",3500
"2010 S500 4Matic",3500
"2010 S550",3500
"2010 S550 4Matic",3500
"2010 Sprinter",2750
"2011 C250",3500
"2011 C300",35000
"2011 C300 4Matic",3500
"2011 CL63 AMG",4000
"2011 E350",3500
"2011 E550",3500
"2011 E550 4Matic",3500
"2011 E63",4000
"2011 G550",3500
"2011 GL450",3500
"2011 GLK 350",3500
"2011 ML350",3500
"2011 S550",3500
"2011 S550 4Matic",3500
"2011 SPRINTER",2750
"2011 e350 4Matic",3500
"2012 C250",3500
"2012 C300 4Matic",3500
"2012 C350",3500
"2012 C350 4Matic",3500
"2012 CLS 500",3500
"2012 E350 4Matic",3500
"2012 E550 4Matic",3500
"2012 GL550 4Matic",3500
"2012 GLE350 4Matic",3500
"2012 GLK 350",3500
"2012 ML350",3500
"2012 S350 4Matic",3500
"2012 S500",3500
"2012 SLK350",3500
"2012 Sprinter",3500
"2012 Sprinter 2500",2750
"2012 e350",3500
"2013 C250",3500
"2013 C300 4Matic",3500
"2013 C350",3500
"2013 C63",4000
"2013 E350",3500
"2013 E350 4matic",3500
"2013 G550",3500
"2013 GL 450 4Matic",3500
"2013 GLK 250 4Matic",3500
"2013 GLK 350",3500
"2013 ML350",3500
"2013 S550",3500
"2013 S550 4Matic",3500
"2013 SL500",3500
"2013 glk 4Matic",3500
"2013 sprinter",2750
"2013 sprinter 2500",2750
"2014 C350",3500
"2014 C350 e",3500
"2014 E350",3500
"2014 E350 4Matic",3500
"2014 G63 AMG",3500
"2014 GLE350",3500
"2014 GLK 250 BlueTEC 4Matic",3500
"2014 GLK350",3500
"2014 S550",3500
"2014 S63",3500
"2014 Sprinter",3500
"2014 c250",3500
"2014 c300",3500
"2015 C400 4Matic",350050
"2015 E350",3500
"2015 G550",3500
"2015 GL450",3500
"2015 GLA 250 4Matic",3500
"2015 GLK 350 4Matic",3500
"2015 S500 4Matic",3500
"2015 Sprinter 2500",3500
"2015 Sprinter 3500",3500
"2016 C300 4Matic",3500
"2016 CLA 250",3500
"2016 E300",3500
"2016 G63",3500
"2016 GLC300",3500
"2016 GLE350",3500
"2016 ML350 4Matic",3500
"2016 Sprinter",3500
"2017 C43 AMG 4Matic",3500
"2017 E400",3500
"2017 GLC300",3500
"2017 GLS 450 4Matic",3500
"2017 S63",4000
"2017 Sprinter",3500
"2018 GLA 250 4Matic",3500
"2018 GLC 300",3500
"2018 GLC 300 4Matic",3500
"2018 ML350",3500
"2018 SPRINTER",3500
"2018 e300",3500
"2019 C300",3500
"2019 E300",3500
"2019 GLS 450",3500
"2019 sprinter",3500
"2020 Sprinter",3500
"6.9",3000
"CORE CHARGE",0
"G300",2750
"Haaglunds BV-206",2750
